id,col,row,utc_date_time,o3,o3_avg_24,o3_max_24,o3_avg_7day,o3_max_7day,o3_avg_14day,o3_max_14day,pmij,pmij_avg_24,pmij_max_24,pmij_avg_7day,pmij_max_7day,pmij_avg_14day,pmij_max_14day
145205815,1,1,2011-01-03 07:00:00,36.0013160705566,,,,,,,2.26994848251343,,,,,,
145205816,1,1,2011-01-03 08:00:00,35.9666366577148,,,,,,,2.1763322353363,,,,,,
145205817,1,1,2011-01-03 09:00:00,35.5550422668457,,,,,,,1.99520182609558,,,,,,
145205818,1,1,2011-01-03 10:00:00,35.2573394775391,,,,,,,1.91517007350922,,,,,,
145205819,1,1,2011-01-03 11:00:00,35.4111633300781,,,,,,,1.99146795272827,,,,,,
145205820,1,1,2011-01-03 12:00:00,35.7283706665039,,,,,,,2.08495330810547,,,,,,
145205821,1,1,2011-01-03 13:00:00,36.0072326660156,,,,,,,2.12108016014099,,,,,,
145205822,1,1,2011-01-03 14:00:00,36.2549362182617,,,,,,,2.1371603012085,,,,,,
145205823,1,1,2011-01-03 15:00:00,36.3301849365234,,,,,,,2.14232873916626,,,,,,
145205824,1,1,2011-01-03 16:00:00,36.4039573669434,,,,,,,2.14263582229614,,,,,,
145205825,1,1,2011-01-03 17:00:00,36.4259147644043,,,,,,,2.13886761665344,,,,,,
145205826,1,1,2011-01-03 18:00:00,36.3260917663574,,,,,,,2.17794060707092,,,,,,
145205827,1,1,2011-01-03 19:00:00,35.6659965515137,,,,,,,2.19599652290344,,,,,,
145205828,1,1,2011-01-03 20:00:00,34.8703498840332,,,,,,,2.21554827690125,,,,,,
145205829,1,1,2011-01-03 21:00:00,34.2843170166016,,,,,,,2.28970098495483,,,,,,
145205830,1,1,2011-01-03 22:00:00,33.9639778137207,,,,,,,2.31044745445251,,,,,,
145205831,1,1,2011-01-03 23:00:00,33.8157119750977,,,,,,,2.29124641418457,,,,,,
145205832,1,1,2011-01-04 00:00:00,33.6772308349609,,,,,,,2.24872064590454,,,,,,
145205833,1,1,2011-01-04 01:00:00,33.5540542602539,,,,,,,2.21367645263672,,,,,,
145205834,1,1,2011-01-04 02:00:00,33.6039199829102,,,,,,,2.20932197570801,,,,,,
145205835,1,1,2011-01-04 03:00:00,33.7493095397949,,,,,,,2.2124195098877,,,,,,
145205836,1,1,2011-01-04 04:00:00,33.8127212524414,,,,,,,2.21076154708862,,,,,,
145205837,1,1,2011-01-04 05:00:00,33.808666229248,,,,,,,2.20681381225586,,,,,,
145205838,1,1,2011-01-04 06:00:00,33.7912254333496,,,,,,,2.20241641998291,,,,,,
145205839,1,1,2011-01-04 07:00:00,33.875186920166,,,,,,,2.20143985748291,,,,,,
145205840,1,1,2011-01-04 08:00:00,34.1193542480469,,,,,,,2.20588040351868,,,,,,
145205841,1,1,2011-01-04 09:00:00,34.5792694091797,,,,,,,2.2057511806488,,,,,,
145205842,1,1,2011-01-04 10:00:00,34.9806480407715,,,,,,,2.19461584091187,,,,,,
145205843,1,1,2011-01-04 11:00:00,35.0741539001465,,,,,,,2.18438935279846,,,,,,
145205844,1,1,2011-01-04 12:00:00,35.0602111816406,,,,,,,2.17389011383057,,,,,,
145205845,1,1,2011-01-04 13:00:00,35.1850471496582,,,,,,,2.16465473175049,,,,,,
145205846,1,1,2011-01-04 14:00:00,35.3317260742188,,,,,,,2.1482937335968,,,,,,
145205847,1,1,2011-01-04 15:00:00,35.3452415466309,,,,,,,2.12237906455994,,,,,,
145205848,1,1,2011-01-04 16:00:00,35.1519927978516,,,,,,,2.09180307388306,,,,,,
